Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
2802NATM,24,349.50,Navy T    ,Medium,Standard Boilersuit,0.7800,5036108031740,15036108601575,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAT.jpg,,,,
2802NATXL,24,349.50,Navy T    ,XL,Standard Boilersuit,0.8600,5036108031764,15036108601599,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAT.jpg,,,,
2802NATXXL,24,349.50,Navy T    ,XXL,Standard Boilersuit,0.9000,5036108031771,15036108601605,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAT.jpg,,,,
2802RBRL,24,349.50,Royal     ,Large,Standard Boilersuit,0.8200,5036108031801,15036108601612,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802RBRM,24,349.50,Royal     ,Medium,Standard Boilersuit,0.7600,5036108031795,15036108601629,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802RBRS,24,349.50,Royal     ,Small,Standard Boilersuit,0.7400,5036108031788,15036108601636,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802RBRXL,24,349.50,Royal     ,XL,Standard Boilersuit,0.9000,5036108031818,15036108601643,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802RBRXXL,24,349.50,Royal     ,XXL,Standard Boilersuit,0.8600,5036108031825,15036108601650,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802RBRXXXL,24,349.50,Royal     ,3 XL,Standard Boilersuit,0.9400,5036108243587,15036108731760,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802RBR.jpg,,,,
2802WHRL,24,349.50,White     ,Large,Standard Boilersuit,0.8200,5036108032006,15036108601667,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRM,24,349.50,White     ,Medium,Standard Boilersuit,0.7600,5036108031993,15036108601674,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRS,24,349.50,White     ,Small,Standard Boilersuit,0.7400,5036108031986,15036108601681,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRXL,24,349.50,White     ,XL,Standard Boilersuit,0.8600,5036108032013,15036108601698,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRXS,24,349.50,White     ,XSmall,Standard Boilersuit,0.7400,5036108243594,15036108731777,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRXXL,24,349.50,White     ,XXL,Standard Boilersuit,0.8600,5036108032020,15036108601704,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2802WHRXXXL,24,349.50,White     ,3 XL,Standard Boilersuit,0.9400,5036108243600,15036108731784,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802WHR.jpg,,,,
2852BKRL,24,256.50,Black     ,Large,Standard Coat,0.6200,5036108262274,15036108751362,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852BKRM,24,256.50,Black     ,Medium,Standard Coat,0.5800,5036108262281,15036108751379,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852BKRS,24,256.50,Black     ,Small,Standard Coat,0.5400,5036108262298,15036108751386,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852BKRXL,24,256.50,Black     ,XL,Standard Coat,0.6200,5036108262304,15036108751393,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852BKRXS,24,256.50,Black     ,XSmall,Standard Coat,0.5200,5036108374953,15036108859433,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852BKRXXL,24,256.50,Black     ,XXL,Standard Coat,0.6600,5036108262311,15036108751409,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852BKR.jpg,,,,
2852NARL,24,256.50,Navy      ,Large,Standard Coat,0.5600,5036108036486,15036108601759,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARM,24,256.50,Navy      ,Medium,Standard Coat,0.5500,5036108036479,15036108601766,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARS,24,256.50,Navy      ,Small,Standard Coat,0.5400,5036108036462,15036108601773,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARXL,24,256.50,Navy      ,XL,Standard Coat,0.6200,5036108036493,15036108601780,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARXS,24,256.50,Navy      ,XSmall,Standard Coat,0.5200,5036108144099,15036108693020,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARXXL,24,256.50,Navy      ,XXL,Standard Coat,0.6200,5036108036509,15036108601797,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852NARXXXL,24,256.50,Navy      ,3 XL,Standard Coat,0.6600,5036108144105,15036108601803,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852NAR.jpg,,,,
2852RBRL,24,256.50,Royal     ,Large,Standard Coat,0.6200,5036108036530,15036108601810,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRM,24,256.50,Royal     ,Medium,Standard Coat,0.5800,5036108036523,15036108601827,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRS,24,256.50,Royal     ,Small,Standard Coat,0.5400,5036108036516,15036108601834,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRXL,24,256.50,Royal     ,XL,Standard Coat,0.6200,5036108036547,15036108601841,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRXS,24,256.50,Royal     ,XSmall,Standard Coat,0.6000,5036108336968,15036108825353,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRXXL,24,256.50,Royal     ,XXL,Standard Coat,0.6600,5036108036554,15036108601858,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852RBRXXXL,24,256.50,Royal     ,3 XL,Standard Coat,0.6000,5036108336975,15036108825360,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852RBR.jpg,,,,
2852WHR4XL,24,237.50,White     ,4XL,Standard Coat,0.7000,5036108212415,15036108698117,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHR5XL,24,237.50,White     ,5XL,Standard Coat,0.7200,5036108212422,15036108698124,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHRL,24,237.50,White     ,Large,Standard Coat,0.6200,5036108036639,15036108601919,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHRM,24,237.50,White     ,Medium,Standard Coat,0.5800,5036108036622,15036108601926,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHRS,24,237.50,White     ,Small,Standard Coat,0.5400,5036108036615,15036108601933,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHRXL,24,237.50,White     ,XL,Standard Coat,0.6200,5036108036646,15036108601940,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
2852WHRXS,24,237.50,White     ,XSmall,Standard Coat,0.5200,5036108144112,15036108601957,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2852WHR.jpg,,,,
